auc,augmentation_profile,balanced_accuracy,batch_size,best_metric,class_weighting,crop_strategy,decision_threshold,epochs,f1,fn,fp,learning_rate,model_name,precision,recall,run_dir,run_name,sampler,seed,target_type,tn,tp
0.9356949955908289,light,0.8881172839506173,32,0.831858407079646,balanced,random_resized,0.5,10,0.7567567567567568,16,56,0.0001,resnet18,0.6666666666666666,0.875,ml/artifacts/experiments/20260314_070706_v2_mild_crop_balanced,v2_mild_crop_balanced,none,20260212,binary,511,112
0.9359567901234567,light,0.8724922839506173,32,0.8192771084337349,balanced,random_resized,0.5,10,0.7397260273972602,20,56,0.0001,resnet18,0.6585365853658537,0.84375,ml/artifacts/experiments/20260314_194528_v2_full_crop_balanced,v2_full_crop_balanced,none,20260212,binary,511,108
